category_id,category_slug,category_name_en,category_name_fr,category_description_en,category_description_fr,group_id,group_title_en,group_title_fr,group_note_en,group_note_fr,quote_as_single_product,quote_item_id,product_line_en,product_line_fr,variation_id,variation_label_en,variation_label_fr
food,food,Food Products,Produits alimentaires,"B2B food lines sourced for supermarkets, distributors, and industrial buyers.","Gammes alimentaires B2B pour supermarchés, distributeurs et acheteurs industriels.",grains-cereals,Grains & Cereals,Céréales et grains,,,no,food-grains-cereals-buckwheat,Buckwheat,Sarrasin,,,
food,food,Food Products,Produits alimentaires,"B2B food lines sourced for supermarkets, distributors, and industrial buyers.","Gammes alimentaires B2B pour supermarchés, distributeurs et acheteurs industriels.",grains-cereals,Grains & Cereals,Céréales et grains,,,no,food-grains-cereals-pearl-barley,Pearl Barley,Orge perlé,,,
food,food,Food Products,Produits alimentaires,"B2B food lines sourced for supermarkets, distributors, and industrial buyers.","Gammes alimentaires B2B pour supermarchés, distributeurs et acheteurs industriels.",grains-cereals,Grains & Cereals,Céréales et grains,,,no,food-grains-cereals-other-cereals-on-request,Other Cereals (On Request),Autres céréales (sur demande),,,
food,food,Food Products,Produits alimentaires,"B2B food lines sourced for supermarkets, distributors, and industrial buyers.","Gammes alimentaires B2B pour supermarchés, distributeurs et acheteurs industriels.",canned,Canned & Preserved Vegetables,Légumes en conserve et marinés,,,no,food-canned-pickled-cucumbers,Pickled Cucumbers,Concombres marinés,,,
food,food,Food Products,Produits alimentaires,"B2B food lines sourced for supermarkets, distributors, and industrial buyers.","Gammes alimentaires B2B pour supermarchés, distributeurs et acheteurs industriels.",canned,Canned & Preserved Vegetables,Légumes en conserve et marinés,,,no,food-canned-canned-tomatoes,Canned Tomatoes,Tomates en conserve,,,
food,food,Food Products,Produits alimentaires,"B2B food lines sourced for supermarkets, distributors, and industrial buyers.","Gammes alimentaires B2B pour supermarchés, distributeurs et acheteurs industriels.",canned,Canned & Preserved Vegetables,Légumes en conserve et marinés,,,no,food-canned-vegetable-mixes-appetizers-lecho-salads-spreads,"Vegetable Mixes & Appetizers (Lecho, Salads, Spreads)","Mélanges de légumes et apéritifs (lecho, salades, tartinables)",,,
food,food,Food Products,Produits alimentaires,"B2B food lines sourced for supermarkets, distributors, and industrial buyers.","Gammes alimentaires B2B pour supermarchés, distributeurs et acheteurs industriels.",honey-jams-nuts,"Honey, Jams & Nuts","Miel, confitures et noix",,,no,food-honey-jams-nuts-natural-honey,Natural Honey,Miel naturel,,,
food,food,Food Products,Produits alimentaires,"B2B food lines sourced for supermarkets, distributors, and industrial buyers.","Gammes alimentaires B2B pour supermarchés, distributeurs et acheteurs industriels.",honey-jams-nuts,"Honey, Jams & Nuts","Miel, confitures et noix",,,no,food-honey-jams-nuts-fruit-jams-preserves,Fruit Jams & Preserves,Confitures et fruits au sirop,,,
food,food,Food Products,Produits alimentaires,"B2B food lines sourced for supermarkets, distributors, and industrial buyers.","Gammes alimentaires B2B pour supermarchés, distributeurs et acheteurs industriels.",honey-jams-nuts,"Honey, Jams & Nuts","Miel, confitures et noix",,,no,food-honey-jams-nuts-nuts-almonds-hazelnuts-mixes,"Nuts (Almonds, Hazelnuts, Mixes)","Noix (amandes, noisettes, mélanges)",,,
food,food,Food Products,Produits alimentaires,"B2B food lines sourced for supermarkets, distributors, and industrial buyers.","Gammes alimentaires B2B pour supermarchés, distributeurs et acheteurs industriels.",fresh-fruits,Fresh Fruits,Fruits frais,,,no,food-fresh-fruits-bananas,Bananas,Bananes,,,
food,food,Food Products,Produits alimentaires,"B2B food lines sourced for supermarkets, distributors, and industrial buyers.","Gammes alimentaires B2B pour supermarchés, distributeurs et acheteurs industriels.",fresh-fruits,Fresh Fruits,Fruits frais,,,no,food-fresh-fruits-oranges,Oranges,Oranges,,,
food,food,Food Products,Produits alimentaires,"B2B food lines sourced for supermarkets, distributors, and industrial buyers.","Gammes alimentaires B2B pour supermarchés, distributeurs et acheteurs industriels.",fresh-fruits,Fresh Fruits,Fruits frais,,,no,food-fresh-fruits-mandarins-clementines,Mandarins / Clementines,Mandarines / clémentines,,,
food,food,Food Products,Produits alimentaires,"B2B food lines sourced for supermarkets, distributors, and industrial buyers.","Gammes alimentaires B2B pour supermarchés, distributeurs et acheteurs industriels.",fresh-fruits,Fresh Fruits,Fruits frais,,,no,food-fresh-fruits-seasonal-fruits-on-request,Seasonal Fruits (On Request),Fruits de saison (sur demande),,,
food,food,Food Products,Produits alimentaires,"B2B food lines sourced for supermarkets, distributors, and industrial buyers.","Gammes alimentaires B2B pour supermarchés, distributeurs et acheteurs industriels.",juices-drinks,Juices & Drinks,Jus et boissons,,,no,food-juices-drinks-fruit-juices,Fruit Juices,Jus de fruits,,,
food,food,Food Products,Produits alimentaires,"B2B food lines sourced for supermarkets, distributors, and industrial buyers.","Gammes alimentaires B2B pour supermarchés, distributeurs et acheteurs industriels.",juices-drinks,Juices & Drinks,Jus et boissons,,,no,food-juices-drinks-carbonated-drinks,Carbonated Drinks,Boissons gazeuses,,,
food,food,Food Products,Produits alimentaires,"B2B food lines sourced for supermarkets, distributors, and industrial buyers.","Gammes alimentaires B2B pour supermarchés, distributeurs et acheteurs industriels.",juices-drinks,Juices & Drinks,Jus et boissons,,,no,food-juices-drinks-vitamin-functional-drinks,Vitamin / Functional Drinks,Boissons vitaminées / fonctionnelles,,,
food,food,Food Products,Produits alimentaires,"B2B food lines sourced for supermarkets, distributors, and industrial buyers.","Gammes alimentaires B2B pour supermarchés, distributeurs et acheteurs industriels.",juices-drinks,Juices & Drinks,Jus et boissons,,,no,food-juices-drinks-protein-drinks,Protein Drinks,Boissons protéinées,,,
feed,feed,Feed Products,Alimentation animale,"We supply feed ingredients, energy components (oils & fats), and custom feed blends tailored to customer specifications.","Nous fournissons des ingrédients pour l’alimentation animale, des composants énergétiques (huiles et matières grasses) et des mélanges sur mesure adaptés aux besoins des clients.",soybean-cake,Soybean Cake,Gâteau de soja,,,no,feed-soybean-cake-soybean-cake,Soybean Cake,Gâteau de soja,,,
feed,feed,Feed Products,Alimentation animale,"We supply feed ingredients, energy components (oils & fats), and custom feed blends tailored to customer specifications.","Nous fournissons des ingrédients pour l’alimentation animale, des composants énergétiques (huiles et matières grasses) et des mélanges sur mesure adaptés aux besoins des clients.",sunflower-meal,Sunflower Meal (Cake),"Tournesol, tourteau (gâteau)",,,no,feed-sunflower-meal-sunflower-meal-cake,Sunflower Meal (Cake),Tourteau de tournesol (gâteau),,,
feed,feed,Feed Products,Alimentation animale,"We supply feed ingredients, energy components (oils & fats), and custom feed blends tailored to customer specifications.","Nous fournissons des ingrédients pour l’alimentation animale, des composants énergétiques (huiles et matières grasses) et des mélanges sur mesure adaptés aux besoins des clients.",feed-grains,Feed Grains,Céréales pour alimentation animale,,,no,feed-feed-grains-feed-grains,Feed Grains,Céréales pour alimentation animale,,,
feed,feed,Feed Products,Alimentation animale,"We supply feed ingredients, energy components (oils & fats), and custom feed blends tailored to customer specifications.","Nous fournissons des ingrédients pour l’alimentation animale, des composants énergétiques (huiles et matières grasses) et des mélanges sur mesure adaptés aux besoins des clients.",custom-blends,Custom Feed Blends,Mélanges sur mesure,,,no,feed-custom-blends-custom-feed-blends,Custom Feed Blends,Mélanges d’aliments sur mesure,,,
feed,feed,Feed Products,Alimentation animale,"We supply feed ingredients, energy components (oils & fats), and custom feed blends tailored to customer specifications.","Nous fournissons des ingrédients pour l’alimentation animale, des composants énergétiques (huiles et matières grasses) et des mélanges sur mesure adaptés aux besoins des clients.",feed-oils-fats,Feed-Grade Oils & Fats,Huiles et matières grasses pour alimentation animale,,,no,feed-feed-oils-fats-animal-fat-tallow,Animal Fat (Tallow),Graisse animale (suif),,,
feed,feed,Feed Products,Alimentation animale,"We supply feed ingredients, energy components (oils & fats), and custom feed blends tailored to customer specifications.","Nous fournissons des ingrédients pour l’alimentation animale, des composants énergétiques (huiles et matières grasses) et des mélanges sur mesure adaptés aux besoins des clients.",feed-oils-fats,Feed-Grade Oils & Fats,Huiles et matières grasses pour alimentation animale,,,no,feed-feed-oils-fats-poultry-fat,Poultry Fat,Graisse avicole,,,
feed,feed,Feed Products,Alimentation animale,"We supply feed ingredients, energy components (oils & fats), and custom feed blends tailored to customer specifications.","Nous fournissons des ingrédients pour l’alimentation animale, des composants énergétiques (huiles et matières grasses) et des mélanges sur mesure adaptés aux besoins des clients.",feed-oils-fats,Feed-Grade Oils & Fats,Huiles et matières grasses pour alimentation animale,,,no,feed-feed-oils-fats-vegetable-oils,Vegetable Oils,Huiles végétales,,,
export,export,Export Products,Produits d’export,Export-oriented commodities from Canada and international markets.,Produits d’exportation pour le Canada et les marchés internationaux.,ag-commodities,Agricultural Commodities,Produits agricoles de base,,,no,export-ag-commodities-canola-oil,Canola Oil,Huile de canola,,,
export,export,Export Products,Produits d’export,Export-oriented commodities from Canada and international markets.,Produits d’exportation pour le Canada et les marchés internationaux.,ag-commodities,Agricultural Commodities,Produits agricoles de base,,,no,export-ag-commodities-lentils,Lentils,Lentilles,,,
export,export,Export Products,Produits d’export,Export-oriented commodities from Canada and international markets.,Produits d’exportation pour le Canada et les marchés internationaux.,ag-commodities,Agricultural Commodities,Produits agricoles de base,,,no,export-ag-commodities-peas,Peas,Pois,,,
export,export,Export Products,Produits d’export,Export-oriented commodities from Canada and international markets.,Produits d’exportation pour le Canada et les marchés internationaux.,special-crops,Special Crops,Cultures spéciales,,,no,export-special-crops-hops,Hops,Houblon,,,
export,export,Export Products,Produits d’export,Export-oriented commodities from Canada and international markets.,Produits d’exportation pour le Canada et les marchés internationaux.,wood,Industrial & Wood Products,Produits industriels et bois,,,no,export-wood-lumber,Lumber,Bois de sciage,,,
export,export,Export Products,Produits d’export,Export-oriented commodities from Canada and international markets.,Produits d’exportation pour le Canada et les marchés internationaux.,wood,Industrial & Wood Products,Produits industriels et bois,,,no,export-wood-wood-pellets,Wood Pellets,Granulés de bois,,,
export,export,Export Products,Produits d’export,Export-oriented commodities from Canada and international markets.,Produits d’exportation pour le Canada et les marchés internationaux.,wood,Industrial & Wood Products,Produits industriels et bois,,,no,export-wood-logs,Logs,Grumes,,,
export,export,Export Products,Produits d’export,Export-oriented commodities from Canada and international markets.,Produits d’exportation pour le Canada et les marchés internationaux.,wood,Industrial & Wood Products,Produits industriels et bois,,,no,export-wood-wood-pulp-bskp-bhkp,Wood Pulp (BSKP / BHKP),Pâte à bois (BSKP / BHKP),,,
export,export,Export Products,Produits d’export,Export-oriented commodities from Canada and international markets.,Produits d’exportation pour le Canada et les marchés internationaux.,fertilizers,Fertilizers & Crop Nutrition,Engrais et nutrition des cultures,,,no,export-fertilizers-potash-fertilizers,Potash Fertilizers,Engrais potassiques,,,
export,export,Export Products,Produits d’export,Export-oriented commodities from Canada and international markets.,Produits d’exportation pour le Canada et les marchés internationaux.,fertilizers,Fertilizers & Crop Nutrition,Engrais et nutrition des cultures,,,no,export-fertilizers-nitrogen-fertilizers,Nitrogen Fertilizers,Engrais azotés,,,
export,export,Export Products,Produits d’export,Export-oriented commodities from Canada and international markets.,Produits d’exportation pour le Canada et les marchés internationaux.,fertilizers,Fertilizers & Crop Nutrition,Engrais et nutrition des cultures,,,no,export-fertilizers-phosphate-fertilizers,Phosphate Fertilizers,Engrais phosphatés,,,
export,export,Export Products,Produits d’export,Export-oriented commodities from Canada and international markets.,Produits d’exportation pour le Canada et les marchés internationaux.,fertilizers,Fertilizers & Crop Nutrition,Engrais et nutrition des cultures,,,no,export-fertilizers-compound-fertilizers-custom-npk-blends,Compound Fertilizers (Custom NPK Blends),Engrais composés (mélanges NPK sur mesure),,,
